Column name,Data type,Responses,Justification
reviewer_initials,Categorical,RP,First and last name intitals of the reviewer/s responsible for extracting data from the article.
study_ID,Categorical,S001.....,Unique identifier assigned to included studies.
full_citation,String (text),NA,Complete bibliographic reference.
Journal,String (text),NA,Publication journal.
publication_year,Integer,NA,Year of publication.
country,Integer,NA,Country of primary author affiliation.
international_collaboration,Categorical,Yes,There is more than country disclosed in author affiliations.
,,No,All author affiliations belong to one country.
DOI,String (text),NA,Digital objective identifier of article.
publication_type,Categorical,Grey-literature,"Research and information produced outside of traditional commercial or academic publishing, such as reports, theses, conference papers, and government documents."
,,Primary literature,Original research published in peer-reviewed journals.
random_assignment,Categorical,Yes,The article explicitly states that abalone were randomly assigned to a study container and/or dietary treatment.
,,No,The article does not explicitly state that abalone were randomly assigned to a study container and/or dietary treatment.
blind_measurement,Categorical,Yes,The article explicitly states that all outcome measures were measured blindly.
,,No,The article does not explicitly state that all outcome measures were measured blindly.
protocol_registration,Categorical,Yes,The article explicity discloses pre-registration of the study protocol.
,,No,The article does not disclose protocol registration and/or the protocol has not been registered.
raw_data_availability,Categorical,Yes,Access to raw data has been provided in the article. This excludes instances where data is only available upon request or any other non-relevant supplementary material has been provided.
,,No,Access to raw data has not been provided in the article or is only available upon request.
source_code_availability,Categorical,Yes,Access to raw code used for data analysis has been provided in the article. This excludes instances where source code is only available upon request or any other non-relevant supplementary material has been provided.
,,No,Access to raw code used for data analysis has nnot been provided in the article or is only available upon request.
funding_disclosed,Categorical,Yes,The source of funding for the research has been disclosed in the article.
,,No,The source of funding for the research has not been disclosed in the article.
funding_potential_COI,Categorical,Yes,"The source of funding presents a potential conflict of interest. This relates to any instance where atleast one funding source is an industry or other body which has invested stake in the results of the article. This includes instances where materials, facilities or labour have been provided in-kind."
,,No,"The source of funding does not present a potential conflict of interest. This describes instances where all funding has been acquired from government bodies, research funds, not for profits, Universities or any other organisation which does not have invested stake in the results of the article."
,,NA,The funding source was not disclosed therefore no appraisal on potential conflicts of interest can be made.
COI_disclosed,Categorical,No COI statement,No COI statement has been provided in the article.
,,COI statement provided - No COI disclosed,A COI statement is provided and the authors disclose no conflicts of interest.
,,COI statement provided - COI disclosed,A COI statement is provided and the authors disclose atleast one conflict of interest.
species,Categorical,NA,Scientific name of the species studied.
experimental_system,Categorical,Laboratory ,Any controlled indoor research facility.
,,Land-based farm,"A commercial aquaculture facility located on land, typically using tanks or raceways supplied with pumped seawater"
,,Other,Any other experimental system which does not fit definitions of the above categories.
,,sea-based farm,Any commercial aquaculture facility located off-shore (e.g. in suspended sea cages).
experimental_unit,Categorical,"Basket, cages and/or net","Any containment system using mesh baskets or nets, typically suspended in tanks or the sea, allowing water flow while keeping abalone enclosed"
,,Other,Any other experimental unit which does not fit definitions of the above categories.
,,Raceway,"A long, narrow tank with continuous water flow, often used in land-based systems"
,,Tank,"Any unit which is isolated and with clear separation of dietary treatments. This excludes instances where baskets, nets and/or cages are submerged in tanks. "
intervention_name,String (text),NA,Name of supplement studied.
intervention_category,Categorical,Algal or diatom extract,Any substance concentrated from an algal or diatom species.
,,Algal or diatom meal,Dried and milled biomass from any algal or diatom species.
,,Amino acid,Any amino acid.
,,Antioxidant,"Any compound with antioxidant or free radical scavenging capabilities which is not a vitamin (see ""Vitamins"")."
,,Enzymes,Any exogenous enzyme.
,,Combination,Any instance where more than one supplement is assessed in combination.
,,Enzymes,Any exogenous enzyme.
,,Fatty acids,Any fatty acid.
,,Minerals ,Inorganic mineral of any form.
,,Prebiotic ,Any non-digestible feed component or supplement added with the intention of assisiting in the growth of beneficial bacteria.
,,Probiotic,Any instance where live bacteria is added in-feed.
,,Protein hydrolysate,Any protein that has been enzymatically or chemically broken down into peptides and free amino acids.
,,Terrestrial extract,"Any substance concentrated from land-based plants, animals or herbs."
,,Terrestrial meal,"Dried and milled biomass from any land-based plants, animals or herbs."
,,Vitamin,"Vitamin of any form (e.g. crystalline, synthetic)."
,,Other,Any other ingredient which does not fit definitions of the above categories but could reasonable be considered a dietary supplement.
