key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-214799893,Potential of Abalone Shells as Vectors for Exotic Oyster Species in the Abalone Farming Practice in China,2016,1,1,,,35,3,,Wu F. and Zhang G.,,,,,"Pacific abalone Haliotis discus hannai (Ino, 1953) aquaculture is a thriving and prosperous industry in China, producing more than 110,000 metric tons in 2013. In recent years, Fujian in the southern region of China has become the chief abalone farming center, accounting for 85% of the total Pacific abalone yield. The practice of transferring abalone to northern regions to oversummer emerged because of challenges in Fujian, such as fouling, high temperature stress, and unexpected extreme weather events. From the view of ecology and conservation biology, however, the potential ecological risks of this practice should be considered as the abalone shells could act as vectors of exotic organisms. In this study, oyster samples from the shells of live, farmed abalones were collected in Fujian in southern and Rongcheng in northern China. The oysters were identified using a recently developed molecular method. In addition, the fouling oysters on Pacific abalone transferred to the northern region were monitored in a field trial. Survivorship and growth performance of the fouling oysters on the transferred abalones were determined through investigation of digital images taken at 2-wk intervals during the oversummering period. Results of the molecular analysis showed that fouling oysters collected from southern and northern regions are Crassostrea angulata and Crassostrea gigas, respectively. The field trial demonstrated that approximately half of the C. angulata, from the southern region, were still alive after a 6-mo oversummering period in the northern region. Findings from this study have important implications for aquaculture, the management and monitoring of cultured populations of Pacific abalone, and the conservation of wild oyster species in China.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.2983/035.035.0307,"",,
rayyan-214799894,Abalone Age Prediction Using Machine Learning,2022,1,1,,,1543,,,Guney S. and Kilinc I. and Hameed A.A. and Jamil A.,,,,,"Abalone is a marine snail found in the cold coastal regions. Age is a vital characteristic that is used to determine its worth. Currently, the only viable solution to determine the age of abalone is through very detailed steps in a laboratory. This paper exploits various machine learning models for determining its age. A comprehensive analysis of various machine learning algorithms for abalone age prediction is performed which include, backpropagation feed-forward neural network (BPFFNN), K-Nearest Neighbors (KNN), Naive Bayes, Decision Tree, Random Forest, Gauss Naive Bayes, and Support Vector Machine (SVM). In addition, five different optimizers were also tested with BPFFNN to evaluate their effect on its performance. Comprehensive experiments were performed using our data set. © 2022, Springer Nature Switzerland AG.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.1007/978-3-031-04112-9_25,"",,
rayyan-214799895,Microplastic pollution as a grand challenge in marine research: A closer look at their adverse impacts on the immune and reproductive systems,2020,1,1,,,204,,,Sharifinia M. and Bahmanbeigloo Z.A. and Keshavarzifard M. and Khanjani M.H. and Lyons B.P.,,,,,"Microplastic (MP) pollution of the marine environment is now a growing global concern posing a threat to a variety of species through the ingestion and transfer within food webs. This is considered a potential toxicological threat to marine species due to the chemical additives used to make many plastic products, or the persistent organic pollutants that may accumulate on them while residing in the environment. While the presence of MPs in the marine environment is widely documented, there are no other review articles providing a summary of published effect studies of MPs on the immune and reproductive systems of marine species. This manuscript reviews reproductive and immune-system changes in response to MPs in 7 and 9 species, respectively. Some species such as Mytilus galloprovincialis and oyster Crassostrea gigas were investigated in multiple papers. Most studies have been conducted on invertebrates, and only 3 studies have been performed on vertebrates, with exposure times ranging between 30 min and 60 days. A review of the literature revealed that the most common MPs types studied in relation to adverse impacts on immune system and reproductive success in marine species were polystyrene (PS) and polyethylene (PE). The immune system's responses to MPs exposure varied depending on the species, with altered organismal defense mechanisms and neutrophil function observed in fish and changes in lysosomal membrane stability and apoptotic-like nuclear alterations in phagocytes reported in invertebrate species. Reproductive responses to MPs exposure, varied depending on species, but included significant reduction in gamete and oocyte quality, fecundity, sperm swimming speed, and quality of offspring. The lack of published data means that developing a clear understanding of the impact across taxonomic groups with different feeding and behavioral traits is often difficult. Further work is required to better understand the risk MPs pose to the immune and reproductive systems of marine species in order to fully evaluate the impact these ubiquitous pollutants are having on marine ecosystems and the associated goods and services they provide. © 2020 Elsevier Inc.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.1016/j.ecoenv.2020.111109,"",,
rayyan-214799897,Early juvenile growth of the abalone Haliotis australis in culture,1997,1,1,,,18,2,,Moss G.A.,,,,,Experimentally cultured juvenile Haliotis australis were fed different diets and their growth was measured. For juveniles between 3 and 6 mm in length the best growth was achieved on diatoms but macroalgal and artificial diets were also suitable for sustaining growth. The size at which the diet should be changed from microalgae to macroalgae was determined as 7 mm. Two batches of juveniles grown in a V-shaped tank rearing system averaged 15.9 ± 0.53 and 17.5 ± 0.69 mm in length after 13 and 12 months respectively. Methods to enhance the early juvenile growth are discussed.,"RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.1080/13235818.1997.10673689,"",,
rayyan-214799898,Effect of biofilm density on grazing and growth rates of Haliotis fulgens postlarvae,2001,1,1,,,20,2,,Searcy-Bernal R. and Vélez-Espino L.A. and Anguiano-Beltrán C.,,,,,"Grazing rates of Haliotis fulgens postlarvae of different ages (7, 15, 30, 45 and 60 days), feeding on the cultured diatom Navicula incerta, were estimated in 10 ml sterile plastic dishes previously inoculated with different densities of the diatom (100-4,000 cells/mm2). Postlarvae (3-7 per dish) were allowed to graze for two to three hours and video recordings were taken to estimate postlarval size and grazing rates by digital image analysis. Seawater was changed every other day and postlarvae were measured again after six to eight days to estimate growth. Grazing and growth rates of postlarvae older than 15 days increased linearly with biofilm density. The highest grazing rates for seven and 60 day-old abalone were 79 and 10,999 cells/postlarva/hour, respectively. The most important increase in grazing activity occurred between ages 45 and 60 days when postlarvae reached 1.5-2.0 mm and started the formation of the first respiratory pore. Implications for the management of production systems are discussed.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Wrong population | RAYYAN-EXCLUSION-REASONS: wrong population",,"",,
rayyan-214799899,Transcriptomic analysis reveals the regulatory mechanism of tetraspore formation in Gracilariopsis lemaneiformis,2023,1,1,,,9,,,Sun D. and Zhou X. and Sun X. and Xu N.,,,,,"With the expansion of seaweed culture and changes in the global climate, large quantities of new seaweed germplasm are urgently needed. It is important to elucidate the process of reproductive development and its regulatory mechanism in seaweed. Gracilariopsis lemaneiformis (Rhodophyta) has an essential economic and ecological value, for example, as a raw material for agar extraction and abalone feed. Here, four phases (I to IV) of G. lemaneiformis tetrasporophyte development were analyzed using physiological assays and transcriptome technologies. The results showed that photosynthetic capacity increased during the period from tetraspore formation to the release (Phase II, III and IV). According to transcriptome results, the expression levels of genes associated with light harvesting, photosynthesis, and carbon fixation pathways were significantly upregulated during tetraspore formation and release. Meanwhile, the expression levels of genes encoding starch and trehalose synthesis enzymes in starch and sucrose metabolism were enhanced during tetraspore formation and release, suggesting that G. lemaneiformis requires more energy supply during reproductive development, and that trehalose-6-phosphate may also act as a signaling molecule to induce tetraspore formation. In addition, genes encoding antioxidant enzymes (APX, TRX, GR, TR, PRX, and CAT) were significantly upregulated during tetraspore formation. These results may help us to understand the transition from nutritional to reproductive development and the molecular mechanism of G. lemaneiformis tetrasporogenesis, which is vital for the development of new germplasm and promoting the growth of the seaweed culture industry. Copyright © 2023 Sun, Zhou, Sun and Xu.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Wrong population | RAYYAN-EXCLUSION-REASONS: wrong population",10.3389/fmars.2022.1080474,"",,
rayyan-214799900,"Corrigendum to “Genetic parameters for resistance to field mortality outbreaks and resistance to a pathogenic strain of Vibrio splendidus in Mytilus edulis, Mytilus galloprovincialis and natural hybrid” [Aquaculture, Volume 590] (Aquaculture (2024) 590, (S0044848624004952), (10.1016/j.aquaculture...",2025,1,1,,,604,,,Ajithkumar M. and Lillehammer M. and Travers M.-A. and Maurouard E. and Aslam M.L. and Dégremont L.,,,,,"The authors regret that a few minor errors were found in the methodology and supplementary section of our published article. While these do not impact the fundamental conclusions of our study, they could lead to potential misinterpretations by readers. Below, we provide the necessary corrections. Abstract Original version: The lowest heritability estimates were obtained for NH (0.21) and the highest for M. galloprovincialis (0.41), and the genetic correlation between AMM in MB and experimental infection was not significantly different from 0, suggesting that this Vibrio strain, is not the major cause of AMM outbreak observed in MB in 2018. Correction: The lowest heritability estimates were obtained for NH (0.15) and the highest for M. galloprovincialis (0.38), and the genetic correlation between AMM in MB and experimental infection was not significantly different from 0, suggesting that this Vibrio strain, is not the major cause of AMM outbreak observed in MB in 2018. 1. Introduction Original version: Recently, the bacteria Francisella halioticida was identified in Mytilus spp. in Normandy and northern Brittany (France) but the authors didn't give any conclusive report on its role inAMM (Charles et al., 2020c). Correction: Recently, the bacteria Francisella halioticida was identified in Mytilus spp. in Normandy and northern Brittany (France) but the authors didn't give any conclusive report on its role in AMM (Charles et al., 2020c). 2.1. Biological material Original version: In addition, species (M. edulis, M. galloprovincialis, and hybrid) of each population were confirmed using KASPTM array method, as all parents used to produce the families were sampled and genotyped (Supplementary Fig. S1 and Supplementary Table S1). Correction: In addition, species (M. edulis, M. galloprovincialis, and hybrid) of each population were confirmed using KASP™ array method (Semagn et al., 2014), as all parents used to produce the families were sampled and genotyped (Supplementary Fig. S1 and Supplementary Table S1). Reference: Semagn, K., Babu, R., Hearne, S., & Olsen, M. (2014). Single nucleotide polymorphism genotyping using Kompetitive Allele Specific PCR (KASP): Overview of the technology and its application in crop improvement. Molecular Breeding, 33, 1–14. https://doi.org/10.1007/s11032-013-9917-x Table 1 We regret an incorrect spelling of sites in Table 1. Below are the necessary corrections: Moguéric should be written as Moguériec. Ile Oléron should be written as Ile d'Oléron. 2.5. Statistical analysis We regret an incorrect description of variance components in the statistical models. Below are the necessary corrections: Original version: σ2α is a matrix of additive genetic variance. Correction: σ2α is the additive genetic variance. Original version: σ2α is a matrix of the residual variance. Correction: σ2e is the residual variance. Original version: [Formula presented] (Model 3) Equation 3 subscripts are missing for X and Z Correction: [Formula presented] (Model 3) The subscripts for Eq. 3 changed into X₁ and X₂, and Z₁ and Z₂. The genetic correlation formulae have missed a square root and we have added in the corrected version. Original version: [Formula presented] Corrected version: [Formula presented] 4.1.3. Genetic correlation between growing sites Original version: Genetic correlation between mortality recorded in MB and LF, was low andnon significantantly different from 0 across all mussel species (0.14), as well as for each species. Corrected version: Genetic correlation between mortality recorded in MB and LF, was low and non significantantly different from 0 across all mussel species (0.14), as well as for each species. Supplementary file: In our original supplementary file, phenotypic correlations were presented for all mussel families combined. However, as significant differences were observed among species, this approach may misrepresent true correlations at the species level. To address this, we have now provided species-specific phenotypic correlations to ensure a more accurate representation of the data. 3.4.2. Genetic correlations Original version: The phenotypic correlation between sites and experimental infection across species is illustrated in Supplementary Fig. S4. Revised version: The phenotypic correlation between sites and experimental infection among species is illustrated in Supplementary Fig. S4. Original Figure:[Figure presented] Supplementary Figure S4: Phenotypic correlation for mortality between the testing sites; La Floride vs Maison Blanche (A), Maison Blanche vs experimental infection (B) and La Floride vs experimental infection (C) The revised figure is added below:[Figure presented] Supplementary Figure S4: Phenotypic correlations for mortality across testing sites among species: (A) Maison Blanche vs La Floride, (B) Maison Blanche vs experimental infection, and (C) La Floride vs experimental infection. The authors would like to apologise for any inconvenience caused. © 2025 Elsevier B.V.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Wrong population | RAYYAN-EXCLUSION-REASONS: wrong population",10.1016/j.aquaculture.2025.742456,"",,
rayyan-214799901,Attraction and palatability activities in juvenile abalone (Haliotis fulgens): nine ingredients used in artificial diets,1994,1,1,,,127,1,,Viana M.T. and Cervantes-Trujano M. and Solana-Sansores R.,,,,,"Nine different ingredients (fish acid silage, neutralized fish acid silage, neutralized abalone viscera silage, fish meal, corn meal, fresh and dried Macrocystis pyrifera, gelatin and soybean meal) were used to evaluate the attraction and palatability activity on juvenile of abalone (Haliotis fulgens). Groups of 45 organisms were randomly separated from a batch of 170 and distributed in three aquaria. Twelve-hour observations were performed using a conduct sheet with assigned values. In the first 4 h the attraction activity was evaluated, and at the 12th hour, the palatability was registered. With the data obtained, a statistical analysis was performed, using a χ2-test from the observed frequencies. From the 9 ingredients evaluated, three silages gave a significant change in conduct. The pH was found to be an important factor for attraction and palatability and a logistic model was used to evaluate a possible pH effect on the attraction activity. The silage made from abalone viscera generated a high attraction and palatability activity. © 1994.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.1016/0044-8486(94)90188-0,"",,
rayyan-214799902,Optimal protein level in a semipurified diet for juvenile greenlip abalone Haliotis laevigata,2000,1,1,,,6,4,,Coote T.A. and Hone P.W. and Van Barneveld R.J. and Maguire G.B.,,,,,"To optimize dietary protein level in relation to growth, semipurified diets with an essential amino acid profile similar to that of the soft body profile were fed for 59 days to young greenlip abalone, Haliotis laevigata (initial shell length, 1525 mm). Animals were housed in 10-L acrylic tanks, with flow-through sea water supplied at 1 L min-1 (20°C, salinity = 36 g L-1). Protein level of feeds ranged from 122 g kg-1 to 461 g kg-1 crude protein (CP) on an 'as is' basis. Second-order polynomial regression analysis of specific growth rate indicated that maximal growth occurs at 270 g kg-1 CP. The protein and energy components of the feed were estimated to have a digestibility of 71.7% and 55.6%, respectively.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.1046/j.1365-2095.2000.006004213.x,"",,
rayyan-214799903,Effect of darkness on the early postlarval development of Haliotis corrugata abalone fed different diatom densities; [Efecto de la oscuridad sobre el desarrollo postlarval inicial del abulón Haliotis corrugata alimentado con diferentes densidades de diatomeas],2009,1,1,,,35,1,,Gorrostieta-Hurtado E. and Searcy-Bernal R. and Anguiano-Beltrán C. and García-Esquivel Z. and Valenzuela-Espinoza E.,,,,,"Four-day-old postlarvae of the abalone Haliotis corrugata were exposed to different diatom densities (Navicula incerta, 0 to 8000 cells mm-2) under two illumination conditions: constant light (19-21 imol quanta m-2 s-1) and darkness. The effect of these two factors on postlarval grazing rate, survival, and growth was evaluated. The experiment was conducted for 14 days in 10-mL sterile wells following a split-plot experimental design with three replicates per treatment. The highest grazing rate was observed in the 2000 cells mm-2 density treatment and it was higher in darkness (196 ± 67 cells pl-1 h-1) than in constant light (139 ± 36 cells pl-1 h-1). Mean survival was also higher in darkness (59%) than under constant light (44%), as was mean growth rate (20 and 14 μm d-1, respectively). Growth rate at the end of the experimental period tended to decrease with the increase in diatom density. Higher grazing and growth rates in darkness reinforce the hypothesis that the nocturnal habits of abalone develop soon after metamorphosis and not at juvenile stages as usually considered.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-LABELS: Does not investigate dietary supplement | RAYYAN-EXCLUSION-REASONS: wrong drug",10.7773/cm.v35i1.1446,"",,
