key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-214799922,Colonization and probiotic effects of lactic acid bacteria in the gut of the abalone haliotis gigantea,2009,1,1,,,75,5,,Iehata S. and Inagaki T. and Okunishi S. and Nakano M. and Tanaka R. and Maeda H.,,,,,"Strains of lactic acid bacteria (LAB) were isolated from several different sources and evaluated in vitro for potential probiotic effects in abalones. Two isolates (Lactobacillus sp. strain a3 and Enterococcus sp. strain s6) were highly resistant to bile salt and/or gastric juice and inhibited the growth of three abalone pathogens (Listonella anguillarum, Vibrio harveyi, and V. carchariae). Each of the LAB isolates was used to supplement diet of the abalone Haliotis gigantea for a period of 3 weeks. One group of animals received Lactobacillus sp. strain a3 added to commercial dry feed, one group received Enterococcus sp. strain s6 added to the feed, and a control group received only standard commercial feed. Culturable LAB counts of gut homogenates indicate the a3 colonized in the gut of abalones. Digestive enzyme activities and the concentrations of a number of volatile short-chain fatty acids (VSCFA) were elevated in the gut of abalones receiving feed supplemented with the two LAB strains. These results indicate that dietary supplementation can enable LAB colonization or persistence in the gut of abalone species and can potentially enhance probiotic effects. © The Japanese Society of Fisheries Science 2009.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included"", ""James""=>""Included""} | RAYYAN-EXCLUSION-REASONS: wrong outcome",10.1007/s12562-009-0138-5,"",,
rayyan-214799925,"Effects of dietary pyridoxine on immune responses in abalone, Haliotis discus hannai Ino",2005,1,1,,,19,3,,Chen H. and Mai K. and Zhang W. and Liufu Z. and Xu W. and Tan B.,,,,,"A feeding experiment was conducted to investigate the effects of dietary pyridoxine (PN) on the immune responses of abalone, Haliotis discus hannai Ino. Purified diets supplemented with 0, 40, 800 mg PN kg-1 or 80 mg kg-1 of 4-deoxypyridoxine (PN antagonist) were fed to adult abalone (initial weight 45.77±0.25 g; initial shell length 68.02±0.78 mm) for 90 days. The air-dried brown kelp, Laminaria japonica, was used as a control diet. Each diet was fed to three replicate groups of abalone in a recirculation system using a completely randomised design. The results showed that weight gain ratio (WGR) of the abalone generally increased with the level of dietary PN supplementation though no significant differences were found among the treatments (P>0.05). Phagocytic and phenoloxidase activities were significantly higher in abalone fed diets supplemented with 800 mg PN kg -1 than those fed the PN-free diet or the one with 4-deoxypyridoxine (P<0.05). Agglutination titre and respiratory burst activity were significantly higher in abalone fed diets supplemented with 40 mg PN kg -1 than those fed the PN-free diet or the one with 4-deoxypyridoxine (P<0.05). There were no significant differences in immunological characteristics between the abalone fed the diet containing 40 mg PN kg -1 and those fed the diet containing 800 mg PN kg-1 (P>0.05). L. japonica resulted in significantly lower agglutination titre, respiratory burst and phagocytic activities than the artificial diets supplemented with 40 or 800 mg PN kg-1 (P<0.05). Total haemocyte count (THC), serum protein concentration, and the activities of lysozyme and acid phosphatase were not significantly affected by the dietary treatments (P>0.05). These results demonstrate that dietary deficiency of pyridoxine suppresses the immune functions in H. discus hannai, and further investigations are needed to optimise the dietary level of this vitamin for maintaining the best immune responses in abalone. © 2005 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included"", ""James""=>""Included""}",10.1016/j.fsi.2004.12.006,"",,
rayyan-214799930,"Substitution effect of white radish (Raphanus sativus L.)' by-product and tunic of sea squirt (Halocynthia rorentzi, von Drasche) for Undaria pinnatifida in feed of abalone (Haliotis discus, Reeve 1846)",2018,1,1,,,21,1,,Lee K.W. and Kim H.S. and Kim P.Y. and Jeong H.S. and Kim J. and Yun A.-Y. and Cho S.H.,,,,,"Substitution effect of white radish' by-product (WRB) and tunic of sea squirt (TSS) for Undaria in feed on growth and carcass composition of abalone was determined. Eight-hundred forty juveniles were distributed into 12 containers. Three formulated diets were prepared in triplicate. A 15% Undaria was included in the control diet. The 15% Undaria was substituted with a same amount of WRB and TSS, referred to as the DRG and TSS diets, respectively. Finally, dry Undaria was also prepared to compare effect of the formulated diets on performance of abalone. The experimental diets were fed to abalone once a day at a satiation level with a little leftover. The feeding trial lasted for 16 weeks. Crude protein, crude lipid, and ash content of the experimental diets changed over all period of time. Higher crude protein and lipid and ash contents retained in all formulated diets compared to the Undaria were observed at 24 and 48 h after seawater immersion. Survival of abalone was not affected by the experimental diets. Weight gain and specific growth rate (SGR) of abalone fed the TSS diet was greater than all other diets. Weight gain and SGR of abalone fed the control diet was not different from those of abalone fed the WRB diet. Proximates of the soft body of abalone was affected by the diets. In conclusion, WRB and TSS are the promising feed ingredients to replace Undaria in abalone feed; especially, TSS is superior to either Undaria or WRB. The formulated diets produced improved growth performance of abalone over the single Undaria. © 2018 The Author(s).","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong drug | USER-NOTES: {""Rebecca""=>[""Ingredients used to substitute macroalgae (core ingredient) with the intention of reducing cost. ""]}",10.1186/s41240-018-0089-9,"",,
rayyan-214799938,Chitosan coated alginate beads as probiotic delivery system for New Zealand black footed abalone (Haliotis iris),2022,1,1,,,139,29,,Masoomi Dezfooli S. and Bonnot C. and Gutierrez-Maddox N. and Alfaro A.C. and Seyfoddin A.,,,,,"The potential benefits of probiotics for growth of black-footed abalone (Haliotis iris) have been highlighted in previous studies. However, traditional methods of probiotic administration in aquaculture are inefficient due to environmental contamination and loss of bacterial viability. This study investigates a new delivery system for delivery of probiotics to H. iris. An extrusion technique coupled with ionotropic gelation was utilized to produce chitosan coated alginate beads (CCALG). Concentration of alginate, chitosan, and coating time were optimized to obtain beads with a desired morphology, stability, sinking time, and release profile. The results showed that increasing alginate concentration up to 1.5% w/w can improve the morphological characteristics of the beads while reducing the sinking time in seawater. Chitosan coating improved the stability of beads and reduced the release of the encapsulated probiotics in seawater. A higher probiotic load was found in the digestive tract of animals fed with CCALG beads ((Formula presented.) compared to the control group ((Formula presented.). High palatability and stability of CCALG beads in seawater combined with controlled release of viable probiotics show that encapsulation of probiotics in CCALG beads is an efficient method for delivery of probiotics in aquaculture. © 2022 The Authors. Journal of Applied Polymer Science published by Wiley Periodicals LLC.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included"", ""James""=>""Included""} | RAYYAN-EXCLUSION-REASONS: wrong outcome",10.1002/app.52626,"",,
rayyan-214799948,"Zinc methionine and zinc sulfate as sources of dietary zinc for juvenile abalone, Haliotis discus hannai Ino",2001,1,1,,,192,1,,Tan B. and Mai K.,,,,,"A feeding experiment was conducted to determine the minimum dietary zinc requirement of juvenile abalone, Haliotis discus hannai, with zinc methionine (ZnMet) and zinc sulfate (ZnSO4·7H2O) as the zinc sources and to compare the bioavailability of the two zinc sources using a premium quality diet based on casein-gelatin as the protein sources. Semipurified experimental diets containing graded levels of dietary zinc (5.6-84.6 mg zinc/kg) provided as either ZnMet or ZnSO4 were fed to juvenile abalone in triplicate groups for 16 weeks. The results showed that the average weight gain rate (WGR, %), daily increment in shell length (DISL, μm/day), soft-body alkaline phosphatase activity (SBAKP, U/g protein) and soft-body zinc concentration (SB zinc, μg/g) of the abalone were significantly (ANOVA, P < 0.01) affected by dietary treatment, and responded in broken-line models to increases in dietary zinc levels from the two zinc sources. The requirements for dietary zinc using ZnMet and ZnSO4 as the supplemental zinc sources, determined by broken-line regression analysis, on the basis of maximum WGR were 15.49 and 34.10 mg/kg, respectively, on maximum DISL were 15.16 and 33.99 mg/kg, respectively, on maximum SBAKP were 15.54 and 31.91 mg/kg, and on maximum SB zinc deposition were 17.75 and 34.29 mg/kg, respectively. The shell zinc concentration, as well as iron concentration in soft-body and shell of the abalone, however, was maintained relatively constant (ANOVA, P > 0.05) regardless of dietary treatment. Based on these results, a minimum requirement for dietary zinc was recommended to be 16-18 mg/kg from ZnMet, and 35 mg/kg from ZnSO4. This experiment also showed that the bioavailability of dietary zinc with ZnMet was approximately three times as high as that of ZnSO4 to H. discus hannai Ino. (C) 2001 Elsevier Science B.V.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included""} | USER-NOTES: {""Malgorzata""=>[""outdoor pool, not lab study""]}",10.1016/S0044-8486(00)00435-X,"",,
rayyan-214799952,The effect of nonnutritive fillers on the digestibility of a manufactured abalone diet,2002,1,1,,,21,2,,Vandepeer M.E. and Hone P.W. and Havenhand J.N. and Van Barneveld R.J.,,,,,"In this study the effects on nutrient digestibility of adding nonnutritive fillers (kaolin, bentonite, sand and diatomaceous earth) to a research diet for greenlip abalone, Haliotis laevigata Donovan, were investigated. The addition of kaolin significantly improved the gross energy digestibility of the diet with the greatest improvement in gross energy digestibility occurring at the highest level of inclusion investigated (20%). Possible explanations for the positive effect of kaolin on nutrient digestion in abalone include assisting with the breakdown of diets through an abrasive/grinding effect, increasing gut transit rime, decreasing digesta viscosity or through supplementation of minerals that may be deficient.","RAYYAN-INCLUSION: {""Malgorzata""=>""Excluded"", ""Rebecca""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong drug | USER-NOTES: {""Malgorzata""=>[""only replaced filler type""]}",,"",,
rayyan-214799966,Effects of diets on the growth performance and shell pigmentation of Pacific abalone,2016,1,1,,,47,12,,Ju Z.Y. and Viljoen C. and Hutchinson P. and Reinicke J. and Horgen F.D. and Howard L. and Lee C.-S.,,,,,"This study investigated the effects of natural and artificial diets on growth performance and shell pigmentation of cultured abalone. A 7-month feeding trial was conducted on 12 000 Pacific abalones (Haliotis discus hannai) with four diets including two extruder-processed test diets (with & without addition of oleopaprika carotenoids), Pacific dulse (Palmaria mollis) and a combination of Pacific dulse and a test diet. The results showed that the two test diets resulted in higher survival of abalone, but with a lower growth rates when compared with Pacific dulse alone (P < 0.05). The combination diet achieved the highest survival and growth rates. The Pacific dulse resulted in abalone with dark-brown shells, which are preferred by Asian markets. The test diets led to 52% and 55% of the animals with pink coloured shells and the supplementation of oleopaprika did not affect shell pigmentation. The aqueous acidic extracts from both dark-brown and pink shells showed blue colour; HPLC-MS chromatography revealed that the pigments in the extracts were consistent with a biliverdin and a cysteine-biliverdin. These results are valuable for the development of abalone feed and the control of abalone shell colouration. © 2015 John Wiley & Sons Ltd","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included"", ""James""=>""Maybe""} | RAYYAN-LABELS: no variation shown around means | USER-NOTES: {""Rebecca""=>[""TD-1 is the control diet (no Oleopaprika)""], ""Malgorzata""=>[""unsure about location - could be outdoors""]}",10.1111/are.12851,"",,
rayyan-214799968,Can crystalline arginine be used to quantify the arginine requirement of abalone?,1997,1,1,,,157,1,,Britz P.J. and Bacela N. and Hecht T.,,,,,"The feasibility of using crystalline arginine in semi-purified diets to determine the quantitative arginine requirement of abalone was investigated. To this end, the assimilation efficiency of labelled [U-14C]arginine incorporated into a formulated feed by the South African abalone, Haliotis midae, was studied. In addition, the effect of crystalline arginine supplementation on abalone growth rate was determined. The retention of [U-14C]arginine by abalone was very low, being 11% of ingested [U-14C]arginine. Diets supplemented with graded levels of crystalline arginine failed to produce any improvement in the growth rate of abalone. Possible reasons for the failure of crystalline arginine to boost abalone growth are discussed.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Excluded"", ""James""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Performance parameters are not reported. Data not extractable | USER-NOTES: {""Malgorzata""=>[""relevant data not well reported - may be not extractable""], ""Rebecca""=>[""Exclude on basis that metrics are reported but not extractable.""]}",10.1016/S0044-8486(97)00150-6,"",,
rayyan-227896109,"Iron methionine (FeMET) and iron sulfate (FeSO4) as sources of dietary iron for juvenile abalone, Haliotis discus hannai Ino",2000,1,1,,,19,2,,Mai K. and Tan B.,,,,,"The minimum dietary iron requirement and its bioavailability were determined for juvenile abalone (Haliotis discus hannai Ino.) using casein-gelatin-based diets supplemented with 0, 10, 20, 30, 60, 120, and 200 mg iron/kg from iron methionine (FeMet) or iron sulfate heptahydrate (FeSO4 · 7H2O). The experimental diets containing graded levels of dietary iron (24.9-212.7 mg iron/kg) provided as either FeMet or FeSO4 were fed to juvenile abalone. Abalone juveniles of similar size were distributed in a flow-through system using a completely randomized design with thirteen treatments and three replicates of each treatment. Abalone fed the basal diet without iron supplementation exhibited significantly lower survival and carcass protein than the other groups. The average weight gain rate (WGR, %), daily increment in shell length (DISL, μm/day), and soft-body iron concentration (SB iron, μg/g) of the abalone were significantly affected by dietary treatment, and responded in broken-line models to increases in dietary iron levels from the two iron sources. The optimal levels of dietary iron using FeMet and FeSO4 as the supplemental iron sources, determined by broken-line regression analysis, on the basis of maximum WGR, were 62.79 and 58.35 mg/kg, respectively. On maximum DISL, the values were 66.12 and 62.11 mg/kg, respectively, and on maximum SB iron deposition were 66.78 and 64.55 mg/kg, respectively. The content of iron and manganese in the shell, however, was maintained relatively constant regardless of dietary treatment. Significantly reduced manganese deposition in soft-body parts was observed for the abalone fed diets containing high levels (≥100 mg/kg) of iron from FeSO4. However, this effect of excess iron on the utilization of manganese was not found when using FeMet as the iron source. Based on these results, an optimal level of dietary iron was recommended to be 65-70 mg/kg with either FeMet or FeSO4 as the iron source. This experiment also showed that the bioavailability of dietary iron from FeSO4 was as high as that from FeMet.","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included""}",,"",,
rayyan-227896114,Prospecting the effects on abalone (H. discus) growth under low-salinity stress after feeding citrus peel (cp) and ecklonia cava disuse (ecd) as feed additives,2021,1,1,,,9,7,,Jwa M.-S. and Hong C.-Y.,,,,,"This study addressed the effects of adding citrus peel (CP) and Ecklonia cava disuse extract (ECD) in the diet of abalones, which are a highly utilized marine species in Korea. As interest in abalone farming is increasing around the fishing community, the installation of land tanks and fish farms on the southern coast and Jeju Island in South Korea is spreading remarkably. In order to create the best opportunities for survival and reproduction, immunity to disease, and growth potential of abalones, we must consider the diet implemented in abalone farming. The survival rate of abalone has shown positive results when their diet is supplemented with CP and ECD. Our research also concluded that the addition of ECD may have a significant effect on the abalone growth and physiology. © 2021 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses /by/4.0/).","RAYYAN-INCLUSION: {""Malgorzata""=>""Included"", ""Rebecca""=>""Included""}",10.3390/jmse9070707,"",,
