"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TF9DTKMY","thesis","2015","Tuterangiwhiu, Te Rerekohu","An Investigation of Optimal Feeding Ration and Effects of Probiotic Bacteria on the Growth of New Zealand Abalone (Haliotis iris)","","","","","https://hdl.handle.net/10292/9299","Haliotis iris are long-rearing Pāua that take 4-5 years to reach market size (75mm). A clear gap exists within the aquaculture literature regarding the optimal nutrition in the cultivation of New Zealand Haliotis iris. Further, there has been much research across aquatic species to suggest that the use of probiotics can successfully stimulate growth and decrease the time it takes to grow farmed Pāua. The overall aim of this thesis is to first investigate and identify an optimum feeding ration of the currently used formulated feed, which can improve growth and eliminate wastage of nutrients in Haliotis iris. Second, this thesis aims to evaluate the effects of the formulated feed with added probiotic bacteria on the ingestion, digestion, assimilation of Pāua, with the goal to increase growth rates. There are two growth trials in this study, conducted over 10 weeks, both of which used 160 juvenile abalone (20mm). First, the feeding ration trial compared the growth of Pāua samples from three treatment groups, fed on 3 different rations based on bodyweight of formulated feed (1%, 2%, 5%). Formulated feed rations were calculated by taking a percentage of the mean wet weight of all the Pāua in each feeding treatment. The second growth trial compares groups of Pāua fed with a probiotic (2%) and non-probiotic (2%) diet at an optimum feeding ration determined from the first trial. Three multi-strain probiotics were used in this study: Exiguobacterium sp. strain (JHEb1) and Vibrio sp. strain (JH1), and Enterococscus sp. strain (JHLDc). Growth (i.e., shell size, animal wet and dry weights) and survival of abalone were recorded throughout the experiment, with initial measurements at the start of the experiment and every two weeks for a total of 10 weeks. Shell length measurements were obtained by recording the greatest length. Wet weights were measured by lightly drying individual animals using tissues or hand towels for approximately 30 minutes and weighing them to the nearest 0.001g. In addition to these morphological and ...","2015","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Auckland University of Technology","","en","","","","","","","","","","","Aquaculture; Haliotis iris; Maori aquaculture; Maori fisheries; Paua; Paua biology; Paua Haliotis iris diet; Probiotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESUPQG4P","thesis","2024","Mwangudza, Petronilla Masika","Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa","","","","","http://hdl.handle.net/10962/466748","The provision of biosecure diets for use in intensive aquaculture conditions requires attention, to reduce the risk of introducing potential pathogens to the farmed stock. Such introductions could lead to infections and disease outbreaks. Despite the benefits associated with macroalgae inclusion in abalone diets, several microbial hazard cases have been reported in the animal feed and human food industries. This has necessitated the application of biosecurity measures on fresh macroalgae to reduce or eliminate potential hazards and the risks of pathogen transfer to abalone stock when used as a feed or feed supplement. The present thesis assessed the efficacy of different processing treatments, including heat, ultra-violet irradiation (UVC), different pH levels, salinity concentrations, and povo-iodine on the inactivation of potential macroalgaetransmitted abalone pathogens. The effect of the processed macroalgae on the growth, health and gut microbial composition of abalone were also explored and compared with abalone fed non-processed diets. The efficacy of the different processing treatments was initially assessed on pure cultures of the test pathogens, which included a bacterium (Vibrio anguillarum), an oomycete (Halioticida noduliformans) and the bacteriophage lambda. Data from the initial assessments were then used to select the most optimal treatments for further assessment on the test pathogens inoculated in a macroalgae matrix, to simulate a more natural scenario. The viability of the three test pathogens following exposure to different processing treatments was assessed using culture methods. The results indicated that a combination of three treatments; disinfection using povo-iodine solution (5000 mg/L) for 20 min, oven drying 40 ℃ for 8.0 h and UVC treatment for 10 min rendered all the test pathogens non-culturable. Growth trials were conducted to assess the effect of the biosecure macroalgae Ecklonia maxima, Ulva lacinulata and Gracilaria gracilis on the growth performance of the abalone Haliotis ...","2024","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","English","","","","","","","","","","","Abalone culture South Africa; Abalones Feeding and feeds; Biosecurity; Haliotis midae; High-throughput nucleotide sequencing; Seaweed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JRJKP6JA","thesis","2024","DeSantiago-Amezcua, Ricardo","Human-mediated impacts on spatial subsidies","","","","","https://escholarship.org/uc/item/7g99h0tt","Ecosystems are intricately connected by the exchange of organisms, inorganic materials, energy, and information that traverse ecotones, forming a complex network of interactions. These inputs from donor systems, known as spatial subsidies, can profoundly shape habitats by influencing primary productivity, altering community interactions, impacting resilience, and changing species composition in recipient habitats. However, human activities such as global shipping and urbanization can disrupt these subsidies through increased nutrient flow, species introductions, and climate-mediated range shifts. In this dissertation, I investigate how invasive species in donor systems and human-mediated movement of organic material across habitats impact subsidy-dependent communities.Chapter 1 explores the impacts of an invasion-mediated shift in seaweed wrack from native kelp, Macrocystis pyrifera, to invasive Devilweed, Sargassum horneri, on subsidy- dependent communities of rocky shores. The study assesses the species-specific impacts on common detritivores (Pagurus samuelis [Blue banded hermit crab], Pachygrapsus crassipes [Striped shore crab], and Tegula funebralis [Black turban snail]), the historically important but now endangered wrack-consuming giant snail (Haliotis cracherodii, [Black abalone]), an assemblage of these grazers, and common native benthic seaweeds (Centroceras clavulatum, Silvetia compressa, and Ulva spp.). Performance impacts are evaluated through long-term feeding assays using common Black turban snails and Haliotis rufescens (Red abalone), as a proxy for the rare Black abalone. Food preference was determined through feeding choice assays using individual species of these wrack detritivores, and a “community assay” in which an assemblage of these grazers fed on three native benthic seaweeds along with either native kelp or invasive Devilweed wrack are conducted. Performance varied among consumers, with abalone growing better on a kelp diet compared to Devilweed and showing intermediate growth on a ...","2024","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","eScholarship, University of California","","en","","","","","","","","","","","coastal communities; coastal ecology; Ecology; sargassum; spatial-subsidies; subsidies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5Y9J92C","thesis","2024","Falade, Abiodun Emmanuel","Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm","","","","","http://hdl.handle.net/10962/466712","The efficiency of fed nutrient utilisation in integrated multitrophic aquaculture (IMTA) system was evaluated on a South African abalone farm. On many commercial abalone farms in South Africa, Haliotis midae are fed a combination of pelleted feed and live macroalgae cultured downstream in abalone effluent. This production technique reduces the discharge of dissolved nutrients into the environment and improves farm productivity as unquantified proportion of the waste metabolites is captured as macroalgal biomass. However, the solid waste from abalone culture tanks remains unutilised and discharged to the coastal environments. Thus, there is scope to improve the dissolved nutrients removal efficiency of the macroalgae and to reduce the discharge of particulate nutrients using detritus waste extractive organisms. The present study aimed at the production and environmental performance of a shore-based abalone/macroalgae IMTA improving farm in South Africa by improving the nutrient utilisation efficiency of farmed abalone and seaweed and testing the waste solids removal potential of a sea cucumber species. Monoculture systems, where abalone and seaweed were cultured separately, both in fresh seawater (salinity: 35 g/L), were compared with an integrated culture system where the seaweed (Ulva lacinulata) was cultured downstream in the wastewater flowing from abalone tanks that were up-channel. Based on the findings from quantifying the performance of these production systems, methods to improve the nutrient utilisation and production efficiencies of the production systems were explored. These assessed methods included (1) the removal of abalone biodeposits by detritus extractive sea cucumber production, (2) evaluating the potential of farmed macroalgae as supplement in formulated diet, and (3) replacing mineral fertilisers with eco-friendly live microbial fertilisers for seaweed farming. Furthermore, the overall environmental performance of the two farm systems was quantified using a life cycle analysis methodology. ...","2024","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","English","","","","","","","","","","","Aquaculture; Abalone culture South Africa; Seaweed; Abalones; Ingestion; Integrated multi-trophic aquaculture; Nutrient cycles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSEJ7F2Z","thesis","2024","Falade, Abiodun Emmanuel","Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm","","","","","http://hdl.handle.net/10962/466712","The efficiency of fed nutrient utilisation in integrated multitrophic aquaculture (IMTA) system was evaluated on a South African abalone farm. On many commercial abalone farms in South Africa, Haliotis midae are fed a combination of pelleted feed and live macroalgae cultured downstream in abalone effluent. This production technique reduces the discharge of dissolved nutrients into the environment and improves farm productivity as unquantified proportion of the waste metabolites is captured as macroalgal biomass. However, the solid waste from abalone culture tanks remains unutilised and discharged to the coastal environments. Thus, there is scope to improve the dissolved nutrients removal efficiency of the macroalgae and to reduce the discharge of particulate nutrients using detritus waste extractive organisms. The present study aimed at the production and environmental performance of a shore-based abalone/macroalgae IMTA improving farm in South Africa by improving the nutrient utilisation efficiency of farmed abalone and seaweed and testing the waste solids removal potential of a sea cucumber species. Monoculture systems, where abalone and seaweed were cultured separately, both in fresh seawater (salinity: 35 g/L), were compared with an integrated culture system where the seaweed (Ulva lacinulata) was cultured downstream in the wastewater flowing from abalone tanks that were up-channel. Based on the findings from quantifying the performance of these production systems, methods to improve the nutrient utilisation and production efficiencies of the production systems were explored. These assessed methods included (1) the removal of abalone biodeposits by detritus extractive sea cucumber production, (2) evaluating the potential of farmed macroalgae as supplement in formulated diet, and (3) replacing mineral fertilisers with eco-friendly live microbial fertilisers for seaweed farming. Furthermore, the overall environmental performance of the two farm systems was quantified using a life cycle analysis methodology. ...","2024","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","English","","","","","","","","","","","Aquaculture; Abalone culture South Africa; Seaweed; Abalones; Ingestion; Integrated multi-trophic aquaculture; Nutrient cycles","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85THAHED","thesis","2024","Mwangudza, Petronilla Masika","Assessment and mitigation of biosecurity risks associated with macroalgae inclusion in farmed abalone diets in South Africa","","","","","http://hdl.handle.net/10962/466748","The provision of biosecure diets for use in intensive aquaculture conditions requires attention, to reduce the risk of introducing potential pathogens to the farmed stock. Such introductions could lead to infections and disease outbreaks. Despite the benefits associated with macroalgae inclusion in abalone diets, several microbial hazard cases have been reported in the animal feed and human food industries. This has necessitated the application of biosecurity measures on fresh macroalgae to reduce or eliminate potential hazards and the risks of pathogen transfer to abalone stock when used as a feed or feed supplement. The present thesis assessed the efficacy of different processing treatments, including heat, ultra-violet irradiation (UVC), different pH levels, salinity concentrations, and povo-iodine on the inactivation of potential macroalgaetransmitted abalone pathogens. The effect of the processed macroalgae on the growth, health and gut microbial composition of abalone were also explored and compared with abalone fed non-processed diets. The efficacy of the different processing treatments was initially assessed on pure cultures of the test pathogens, which included a bacterium (Vibrio anguillarum), an oomycete (Halioticida noduliformans) and the bacteriophage lambda. Data from the initial assessments were then used to select the most optimal treatments for further assessment on the test pathogens inoculated in a macroalgae matrix, to simulate a more natural scenario. The viability of the three test pathogens following exposure to different processing treatments was assessed using culture methods. The results indicated that a combination of three treatments; disinfection using povo-iodine solution (5000 mg/L) for 20 min, oven drying 40 ℃ for 8.0 h and UVC treatment for 10 min rendered all the test pathogens non-culturable. Growth trials were conducted to assess the effect of the biosecure macroalgae Ecklonia maxima, Ulva lacinulata and Gracilaria gracilis on the growth performance of the abalone Haliotis ...","2024","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","English","","","","","","","","","","","Abalone culture South Africa; Abalones Feeding and feeds; Biosecurity; Haliotis midae; High-throughput nucleotide sequencing; Seaweed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KNQEZTBU","thesis","2017","THES","Development of a mouse model to evaluate the degree of immunological cross-reactivity between prawns and abalone","","","","","https://researchonline.jcu.edu.au/53096/1/53096-liu-2017-thesis.pdf","Food allergy is one of the major health concerns in both industrial and developing countries. The most frequent pattern of food allergy is IgE-mediated hypersensitivity. As the global consumption of seafood grows, the prevalence of shellfish allergy has been increasing significantly. Unfortunately, so far, there is no cure for shellfish allergy. Many patients follow the elimination diet to protect themselves from the potential life-threatening consequence. Prawns and abalone are two of the most widely distributed shellfish species in the Asian-Pacific region and the in vitro IgE cross-reactivity between them has been reported. However, there is a lack of in vivo studies to comprehensively assess the degree of the immunological cross-reactivity between prawns and abalone and to identify the cross-reactive allergens. Mouse models are very useful tools to study allergic diseases. Without involving patients and possible health risks, the conditions of allergen exposure can be designed on experimental animals and subsequently substantial evidence for humoral and cellular responses can be obtained for the evaluation of potential allergic reactions. Therefore, in this PhD thesis, a mouse model has been developed for the in-depth assessment of the immunological cross-reactivity between prawns and abalone. Black tiger prawn (Penaeus monodon) has been selected for the development of this shellfish allergy model, because as one of the glorbally commercial seafood products the major allergens of Black tiger prawn (BTP) have been well characterised using immunochemical methods and mass spectroscopy. Moreover, tropomyosin is the most abundant allergen in BTP extracts, and has over 95% amino acid sequence identity with tropomyosins from other prawn species. Jade tiger abalone (Haliotis. laevigata × Haliotis. rubra) is one of the three main species of abalone farmed in Australia. The consuption but also the aquaculture facilities of Jade tiger abalone are rapidly expanding, nevertheless the allergenicity of this shellfish ...","2017","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNKNPLAU","thesis","2015","Rouchon, Agnes","Effects of metal toxicity on the early life stages of the sea urchin Evechinus chloroticus","","","","","https://doi.org/10.26686/wgtn.17013266","Metals are a common source of pollution in coastal waters, and have long been recognised as a major concern for many marine species, especially their early life stages. Although effects have been examined using standard toxicity assays, the impact of metals in more complex and realistic exposure regimes is still poorly known, in particular with regards to latent effects across multiple life stages and the interaction of multiple stressors. In this thesis, the effects of metals were investigated for multiple life stages of the endemic New Zealand sea urchin Evechinus chloroticus. Standard short-term bioassays were performed on the early life stage of E. chloroticus and also the endemic abalone Haliotis iris, for comparison. These assays evaluated the toxicity of three major pollutants (copper, lead and zinc) alone and in combination, on these species. Embryos of both species were highly vulnerable to copper (EC50s: 5.4 and 3.4 µg/L respectively for E. chloroticus and H. iris) and zinc (27.7 and 13.1 µg/L) but relatively tolerant to lead (52.2 and 775 µg/L), and there was no evidence of synergistic effects of metal mixtures. The latent effects of copper across two life stages in E. chloroticus, larval and juvenile, were investigated with laboratory experiments using realistic scenarios of low copper concentration, short pulses of exposure and examining exposure through dietary intake as well as waterborne exposure. Strong latent and carry-over effects were observed even at low concentration and short exposure time. For example, individuals exposed as larvae to 10.4 µg/L Cu for two days developed normally during the larval stage but had strongly impaired subsequent growth, with average body size decreasing by 24% in the 25 d following settlement. Moreover, juveniles previously exposed to copper as larvae were less resistant to a subsequent exposure, with up to four times higher mortality. Latent effects were especially important when copper was present in the diet rather than dissolved in water. For example, E. ...","2015","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","","","","","","","","","","","","","","060205 Marine and Estuarine Ecology (incl. Marine Ichthyology); Carry-over effects; Copper; Degree Discipline: Marine Biology; Degree Level: Doctoral; Degree Name: Doctor of Philosophy; Larvae; Lead; Marine and estuarine ecology (incl. marine ichthyology); Metal toxicity; Pollution; School: School of Biological Sciences; Sea urchin; Zinc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPKS3NFQ","thesis","2023","Rizzo, Natalie","The Impact of Temperature on the Nutritional Composition of Dulse (Devaleraea mollis) and its Influence on Juvenile Red Abalone (Haliotis rufescens)","","","","","https://escholarship.org/uc/item/72c6h03n","The world is experiencing changes in weather patterns that are affecting not only ecosystems but agricultural systems and bringing uncertainty to food production. The research continues to grow on the impacts of climate change and developing solutions to mitigate its harmful effects on our industrial food systems is imperative for food security. Humans rely on a global food system spanning vegetation and terrestrial animals, with increasing growth in aquaculture. Understanding how changes in temperature and increases in carbon dioxide change our foods allows for mitigation and regulations to be implemented. It is well documented in agriculture how plants adapt to climate change and its effect on the nutrition of produce. With the growth of the seaweed farm sector, it is essential to understand how increasing temperatures change seaweeds and how these changes impact natural ecosystems. Changes in primary producers such as seaweed can reverberate throughout the food chain, impacting higher trophic levels, inducing stress, and degrading ecosystem health. To determine how the changes in nutritional composition that could result from climate change affect the growth of herbivorous animals, the direct effects of temperature on seaweeds needs to be understood. This project aimed to determine the changes in protein and carbohydrate concentration in a primary producer in varying temperature ranges and its influence on the growth of an herbivorous animal. The seaweed dulse, Devaleraea mollis, was cultured at three different temperatures (13°C, 15°C and 17°C) which was fed to juvenile red abalone (Haliotis rufescens) of two different size classes (small 15.6±1.76mm, and medium 42.86±4.65mm), and maintained in ambient seawater separate from the culture system. For the small size class, a total of 288 abalone were divided into 24 rearing troughs, (trough = experimental unit) with twelve abalone per trough, and randomly assigned to a diet treatment group. The medium size class totaled 63 abalone divided into 21 rearing ...","2023","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","eScholarship, University of California","","en","","","","","","","","","","","abalone; aquaculture; aquatic nutrition; Aquatic sciences; dulse; ocean warming; seaweed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5JEFPZAN","thesis","2010","Tung, Che-Huang","Dietary Protein Requirements of the New Zealand Black-Footed Abalone (Haliotis iris, Martyn 1784)","","","","","https://hdl.handle.net/10292/1049","The aim of this thesis is to evaluate the nutritional aspects of dietary protein for the New Zealand black-footed abalone (Haliotis iris) as an aquaculture species, and thus provide an affordable option for formulated feeds to be used in this abalone industry. Young (4 hours) and mature (7 days) and nine of twenty strains were mixed to each other microalgal biofilms were tested for their effectiveness on H. iris larval early developmental processes (attachment, metamorphosis, settlement and survival). Amino acid profiles and percent biofilm cover of microalgae also were monitored. Significantly better effects on attachment, metamorphosis, settlement and survival were found when abalone were exposed to mature microalgal biofilms compared to young biofilms, but few significant differences were found among biofilms composed of different microalgal species. Attachment and metamorphosis did not appear to be affected by differences in essential or non-essential amino acid profiles in the diets, but positive correlations were found between developmental processes and total amino acid content and percent biofilm cover. Similar results were also found in dual strains experiment. Nine commercially available protein sources (white fish, red fish, blood, meat and bone, casein, soybean, gluten, maize protein, Spirulina) were used as sole protein sources in formulated diets, which was fed to juvenile H. iris at 18 °C for five months. Juvenile abalone fed with diets containing white fish, red fish, casein, soybean and Spirulina had significantly better growth than those of fed other protein sources, thus indicating that these diets could be suitable as sole protein sources for H. iris formulated feeds. Abalone juveniles fed soybean diets (with extremely low methionine content) had similar growth results as those fed fish meal diets, and did not show a decrease in certain amino acid content (such as methionine) in their soft body tissues. However, dietary amino acid profiles did affect the amino acid profiles of both soft ...","2010","2025-05-21 23:13:23","2025-05-21 23:13:23","","","","","","","","","","","","","Auckland University of Technology","","en","","","","","","","","","","","Haliotis iris; Protein requirement; Temperature","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
