Authors,Title,Year,Source.Title,Volume,Issue,Start.Page,End.Page,Article.Number,Abstract,DOI
"Neave, MJ; Corbeil, S; McColl, KA; Crane, MS",Investigating the natural resistance of blackfoot Paua Haliotis iris to abalone viral ganglioneuritis using whole transcriptome analysis,2019,DISEASES OF AQUATIC ORGANISMS,135,2,107,119,,"(T)he natural resistance of New Zealand blackfoot paua Haliotis iris to infection by haliotid herpesvirus-1 (HaHV-1) and to the disease abalone viral ganglioneuritis was investigated in experimentally challenged paua using high throughput RNA-sequencing. HaHV-1-challenged paua up-regulated broad classes of genes that contained chitin-binding peritrophin-A domains, which seem to play diverse roles in the paua immune response. The paua also up-regulated vascular adhesion protein-1 (VAP-1), an important adhesion molecule for lymphocytes, and chitotriosidase- 1 (CHIT-1), an immunologically important gene in mammalian immune systems. Moreover, several blood coagulation pathways were dysregulated in the paua, possibly indicating viral modulation. We also saw several indications that neurological tissues were specifically affected by HaHV-1, including the dysregulation of beta-1,4-N-acetylgalactosaminyltransferase (B4GALNT), GM2 ganglioside, neuroligin-4 and the Notch signalling pathway. This research may support the development of molecular therapeutics useful to control and/or manage viral outbreaks in abalone culture.",10.3354/dao03390
"Allen, VJ; Marsden, ID; Ragg, NLC; Gieseg, S","The effects of tactile stimulants on feeding, growth, behaviour, and meat quality of cultured Blackfoot abalone, Haliotis iris",2006,AQUACULTURE,257,1-Apr,294,308,,"The New Zealand Blackfoot abalone or paua, Haliotis iris uses both tactile and chemosensory cues to detect and feed on drifting seaweed in its natural habitat. In aquaculture situations, abalone are usually provided with static artificial food pellets, effectively removing the tactile stimulus. This study investigated the effects of tactile stimuli from suspended particles on pellet ingestion, growth, behaviour and meat quality of juvenile paua (length 40-45 mm). Over eleven months, individuals were offered a commercial pellet diet (AbFeed (TM)) and small quantities of one of four particulate materials: macerated seaweed (Gracilaria spp. and Macrocystis pyrifera) and 2 sizes of synthetic PVC fragments. There was seasonal variation in the ingestion rate of abalone from all treatments and the control (no stimulants) with lowest rates during winter (June to September) and highest rates in summer (December to February). The specific growth rate (% body weight gain per day) and shell length increase varied seasonally. Of the four treatments, the only effective stimulant was Gracilaria spp. which resulted in summer shell growth of 110.6 +/- 3.2 pm d(-1) compared with 86.9 +/- 4.0 pm d(-1) for control abalone. Behavioural observations showed that when Gracilaria particles were present, abalone spent > 80% of their time engaged in feeding-related activity. Control abalone, without the algal stimulant, spent most of their time in a sedentary position. None of the particulate stimulants tested had any significant effect on food conversion ratio, water content, protein, lipid and glycogen levels or meat tenderness. These parameters were, however, significantly affected by season. A preliminary trial of the Gracilaria particle treatment in a commercial system over 90 days enhanced the growth of cultured H. iris (45 +/- 5 min shell length) by 15.3%. The main commercial implication of this research is that the addition of algal stimulants is suggested as a cost-effective means of improving abalone performance using pre-existing culture systems and food types. (c) 2006 Elsevier B.V. All rights reserved.",10.1016/j.aquaculture.2006.02.070
"Cheng, W; Yu, JS","Effects of the dietary administration of sodium alginate on the immune responses and disease resistance of Taiwan abalone, Haliotis diversicolor supertexta",2013,FISH & SHELLFISH IMMUNOLOGY,34,3,902,908,,"Sodium alginate extracted from brown algae was reported to enhance the immune response and resistance of fish and shrimp. In this study, survival rates of the abalone, Haliotis diversicolor supertexta, against Vibrio parahaemolyticus, and its non-specific immune parameters such as the total haemocyte count (THC), phenoloxidase (PO) activity, respiratory bursts, superoxide dismutase (SOD) activity, phagocytic activity, and clearance efficiency to V. parahaemolyticus by H. diversicolor supertexta were determined when abalone (4.5 +/- 0.4 g) were fed diets containing sodium alginate at 0, 1.0, 2.0, and 3.0 g kg(-1). Abalone fed a diet containing sodium alginate at 2.0 and 3.0 g kg(-1) for 14 days and at 1.0 g kg(-1) for 21 days had significantly higher survival rates than those fed the control diet after challenge with V. parahaemolyticus. The relative survival percentages of abalone fed the 1.0, 2.0, and 3.0 g kg(-1) sodium alginate-containing diets for 14 and 21 days were 16.1%, 40.0%, and 48.0%, and 63.6%, 27.3% and 22.6%, respectively. The PO activity, respiratory bursts, SOD activity, and phagocytic activity and clearance efficiency of V. parahaemolyticus of abalone fed the sodium alginate-containing diets at 1.0, 2.0, and 3.0 g kg(-1) were significantly higher than those of abalone fed the control diet for 14 days. After 21 days, the PO activity, respiratory bursts, SOD activity, and phagocytic activity and clearance efficiency of V. parahaemolyticus by abalone fed the sodium alginate-containing diet at 1.0 g kg(-1) were significantly higher than those of abalone fed the other diets. It was concluded that sodium alginate can be used as an immunostimulant for abalone through dietary administration to enhance immune responses of abalone and resistance against V. parahaemolyticus, which were related to the dose and timing of administration. (c) 2013 Elsevier Ltd. All rights reserved.",10.1016/j.fsi.2012.12.020
"Dlaza, TS; Maneveldt, GW; Viljoen, C",Growth of post-weaning abalone Haliotis midae fed commercially available formulated feeds supplemented with fresh wild seaweed,2008,AFRICAN JOURNAL OF MARINE SCIENCE,30,1,199,203,,"The effect of five formulated feeds supplemented with fresh wild seaweed on the growth of post-weaning juvenile abalone Haliotis midae (6-20 mm shell length) was investigated by means of a growth trial at a commercial abalone farm over a period of 11 months. The experiment included 10 diet treatments with two replicates each (n = 50 individuals per replicate). The first five diet treatments comprised four fishmeal-based formulated feeds: Abfeed (R), Adam & Amose (R) 'a', Adam & Amos (R) 'b' and Adam & Amos (R) 'c'; and an all-seaweed -based formulated pellet, FeedX. The additional five diet treatments comprised the formulated feeds above, supplemented with fresh wild seaweeds: the kelp Ecklonia maxima (5-15% protein) and Ulva lactuca (3.7-19.9% protein). The fishmeal-based protein feeds produced significantly better growth than the all-seaweed-based protein feed (FeedX: 0.49 +/- 0.03 specific growth rate [SGR]; 27.15 +/- 0.02 daily increment increase in shell length [DISL]; 0.864 final condition factor [CF]). Abfeed (R) (1.00 +/- 0.02 SGR; 60.79 +/- 0.04 DISL; 1.312 final CF) performed best of all the formulated feeds. Supplementation with fresh, wild seaweed, however, significantly improved growth of all abalone with supplemented Abfeed (R) (1.05 +/- 0.02 SGR; 63.61 +/- 0.05 DISL; 1.447 final CF), outperforming all supplemented feeds. A noteworthy observation was that the condition factor of abalone fed the feed that performed particularly poorly in the growth trials (FeedX) was dramatically improved by supplementation. It was shown that supplementation with fresh wild seaweed enhances the growth of abalone reared on formulated feeds.",10.2989/AJMS.2008.30.1.22.472
"Wang, WF; Mai, KS; Zhang, WB; Ai, QH; Yao, CF; Li, HT; Liufu, ZG","Effects of dietary copper on survival, growth and immune response of juvenile abalone, Haliotis discus hannai Ino",2009,AQUACULTURE,297,1-Apr,122,127,,"A study was conducted to evaluate the effects of dietary copper (Cu) on the growth, survival, carcass composition and immune responses in juvenile abalone, Haliotis discus hannai. Six semi-purified diets containing graded levels of dietary copper (1.08, 3.76, 6.54, 14.80, 26.84 and 109.41 mg/kg diet) from CuSO4 center dot 5H(2)O were fed to juvenile abalone (initial shell length: 17.21 +/- 0.04 mm; initial body weight: 0.65 +/- 0.00 g) in triplicate groups for 24 weeks in a flow-through system. The results showed that no significant (P>0.05) differences were found in weight gain rate (WGR, %), daily increment in shell length (DISL mu m/day) and survival among the dietary treatments. However, Cu concentrations in abalone serum, hepatopancreas, muscle and newly grown shell showed a clear increasing trend with the supplementation of dietary Cu, and the concentrations were significantly (P<0.05) higher in abalone fed dietary Cu >= 26.84 mg/kg compared to those fed 1.08 mg Cu/kg. The crude lipid in abalone carcass decreased with increasing dietary Cu and was significantly (P<0.05) lower in abalone fed dietary Cu 26.84 mg/kg compared to the rest of the treatments. The activities of copper-zinc superoxide dismutase (CuZn SOD) in the hepatopancreas and serum were significantly increased when supplementation of dietary Cu reached 3.76 mg/kg diet, and 6.54 mg/kg diet provided maximum activity of serum phenoloxidase (PO). There was no significant difference for these enzyme activities when dietary Cu was over those values. The optimum requirement of juvenile abalone for dietary Cu was estimated to be 3-5 mg/kg diet by broken-line regression analysis, based on the activities of CuZn SOD and PO either in abalone hepatopancreas or serum. Deficiency of dietary Cu significantly depressed the immune responses in abalone. (c) 2009 Elsevier B.V. All rights reserved.",10.1016/j.aquaculture.2009.09.006
"O'Mahoney, M; Mouzakitis, G; Doyle, J; Burnell, G","A novel konjac glucomannan-xanthan gum binder for aquaculture feeds: the effect of binder configuration on formulated feed stability, feed palatability and growth performance of the Japanese abalone, Haliotis discus hannai",2011,AQUACULTURE NUTRITION,17,4,395,407,,"As part of a programme to develop sustainable diets for macroalgivores, a 3-month experiment was conducted to determine the effects of konjac glucomannan-xanthan gum (KX) binder configuration on formulated feed stability, feed palatability and growth performance of juvenile, hatchery-reared, Haliotis discus hannai. This study was conducted in a recirculation facility in which four KX binder configurations were evaluated in a series of isonitrogenous experimental feeds and freshly harvested Laminaria digitata was included as a natural feed type. Dry matter leaching of the experimental feed treatments was assessed with no significant difference in the dry matter leaching between treatments observed. No differences (P > 0.05) were found in percentage survival, daily food consumption (DFC) and linear growth rate (LGR) between treatments. Food conversion efficiency (FCE), specific growth rate (SGR) and body weight/shell length (BW/SL) ratio were significantly higher when offered L. digitata. Trends showed that the best performing KX feed in terms of FCE, LGR, SGR and BW/SL ratio was produced with the 2% KX; 1 : 1 binder.",10.1111/j.1365-2095.2010.00816.x
"Chen, FY; Li, XX; Wu, YJ; Huang, D; Guo, YL; Zhang, YJ; Zhang, WB; Mai, KS","Influences of dietary antimicrobial peptide APSH-07 on the growth performance, immune response and vibriosis resistance of abaloneHaliotis discus hannaiIno",2020,AQUACULTURE NUTRITION,26,5,1736,1747,,"A 115-day feeding trial and subsequently a 10-day challenge test withVibrio parahaemolyticuswere conducted to investigate the effects of dietary antimicrobial peptide APSH-07 on growth performance, immune response, antioxidative status and vibriosis resistance of abaloneHaliotis discus hannai(initial body weight: 2.06 +/- 0.01 g; initial shell length: 25.42 +/- 0.18 mm). Four artificial diets were designed with 0 (artificial diet control), 7.5, 15.0 and 22.5 mg/kg of APSH-07, respectively. The brown algaLaminaria japonicawas used as the live food control. Results showed that the specific growth rates of abalone in the groups with 7.5 and 15.0 mg/kg dietary APSH-07 were significantly higher than those in the controls (p < .05). The total haemocyte counts and respiratory burst activity in haemolymph of abalone in the group with 7.5 mg/kg of dietary APSH-07 were significantly higher than those in the groups with 0 and 22.5 mg/kg of dietary APSH-07 (p < .05). The gene expression levels of Mn-superoxide dismutase and thioredoxin peroxidase 2, and the activities of glutathione peroxidase in the group with 7.5 mg/kg of dietary APSH-07 were significantly higher than those in the other groups (p < .05). Cumulative mortality of abalone after the challenge test was significantly decreased in the group with 7.5 mg/kg of dietary APSH-07 supplementation. Supplementation of 22.5 mg/kg dietary APSH-07 significantly increased the cumulative mortality. In conclusion, 7.5 mg/kg of dietary APSH-07 supplementation had the better growth performance, higher antioxidation, immune and disease resistance capacity of abalone. Excessive supplementation of dietary antimicrobial peptide APSH-07 (22.5 mg/kg) had significantly negative effects. Further studies are needed to determine the optimal level of dietary APSH-07 supplementation for abalone.",10.1111/anu.13124
"Ke, YZ; Liu, SY; Zeng, WC; Gao, XL; Cai, MY; You, WW","Comparative Responses of Orange-Foot and Common-Foot Haliotis gigantea to Carotenoid-Enriched Diets: Survival, Heat Tolerance, and Bacterial Resistance",2024,ANIMALS,14,2,,,180,"Simple Summary: This study explored how adding carotenoids, natural substances known for boosting survival, heat resistance, and immunity against bacteria, affects the abalone species Haliotis gigantea. We tested 13 different types of feed, each with varying amounts of three carotenoids: astaxanthin, zeaxanthin, and beta-carotene. These feeds were given to two types of abalones: those with common (pale yellow) and orange-colored foot muscles. The study found that all abalones, regardless of the carotenoid levels in their diet, had a survival rate of about 70-80%. This suggests that these added nutrients do not significantly change their survival chances. Interestingly, when exposed to heat, the common-footed abalones were able to stay attached longer than the orange-footed ones, indicating that they might benefit more from the added nutrients. In addition, both types showed similar resistance to bacterial infection. Our findings highlight the potential of using carotenoid-enriched diets in aquaculture to improve the health and resilience of abalones, offering insights for developing better feeds for these valuable sea creatures. Carotenoids, known to enhance survival, heat tolerance, and bacterial resistance, play an essential role in the nutrition of economically important aquatic animals. This study specifically examined their impact as feed additives on the abalone Haliotis gigantea. We prepared 13 compound feeds with varying levels of astaxanthin, zeaxanthin, and beta-carotene, and administered them to both common-footed and orange-footed H. gigantea. The survival rate of H. gigantea was about 70-80%, with no significant differences in survival observed among the various carotenoid-supplemented feeding groups or when compared with the control group, nor between orange-footed and common-footed individuals. In heat attachment duration experiments, orange-foot abalones exhibited longer attachment durations with certain concentrations of astaxanthin and zeaxanthin, whereas common-foot abalones showed extended durations with astaxanthin, zeaxanthin, and beta-carotene, indicating that common-foot abalones might benefit more from these carotenoids. Additionally, our results showed similar patterns and levels of Vibrio harveyi AP37 resistance in both orange-footed and common-footed H. gigantea, suggesting a uniform response to carotenoid supplementation in their bacterial defense mechanisms. This study suggests the potential benefits of carotenoid supplementation in H. gigantea and contributes to the theoretical basis for developing high-quality artificial compound feeds.",10.3390/ani14020180
"Dai, QH; Cho, SH","Dietary inclusion effect of citrus peel by-product as an additive on the growth performance, body composition, and various stress resistance of juvenile abalone (Haliotis discus) compared to ethoxyquin",2022,AQUACULTURE REPORTS,24,,,,101187,"Dietary additive can effectively improve growth performance and stressor resistance of aquatic animals. Dietary inclusion effect of citrus peel by-product (CPB) as an additive on the growth, body composition, and various stress resistance of juvenile abalone (Haliotis discus) was investigated, and compared to commercial antioxidant (ethoxyquin). A total of 2880 juvenile (initial weight of 3.3 g) abalone were randomly assigned into 24 net cages. Seven formulated diets supplemented with 0, 5, 10, 20, 30, and 50 g/kg CPB and 0.01 g/kg ethoxyquin were formulated, and referred to as the CPB0, CPB5, CPB10, CPB20, CPB30, CPB50, and EQ diets, respectively. Finally, dry Saccharina japonica was prepared to compare the formulated diets on growth of abalone. All experimental diets were assigned to triplicate groups of abalone. Abalone were daily fed to satiation for 16 weeks. After the 16-week feeding trial, sixty abalone from each cage were subjected to the 20-h air, 12-h low salinity at 25 psu, and 20-h high temperature at 30 degrees C exposure stressors, respectively, and then survival was monitored. Abalone fed all formulated diets produced superior weight gain, specific growth rate (SGR), shell growth to abalone fed the S. japonica. Dietary inclusion levels of CPB linearly improved weight gain of abalone. However, there was no difference in chemical composition of the soft body of abalone fed all experimental diets. Diets supplemented with CPB or EQ improved survival of abalone when subjected to the 20-h air and high temperature exposures. In conclusion, CPB was a very effective additive as growth enhancer as well as stress reducer in abalone diet. Abalone fed the CPB50 diet attained the highest weight gain, SGR, and stress resistance subjected to the 20-h air and high temperature exposures.",10.1016/j.aqrep.2022.101187
"Gao, XL; Ke, CH; Wu, FC; Li, X; Liu, Y","Effects of Bacillus lincheniformis feeding frequency on the growth, digestion and immunity of Haliotis discus hannai",2020,FISH & SHELLFISH IMMUNOLOGY,96,,1,12,,"To study the effects of Bacillus lincheniformis feeding frequency on the survival and growth of Haliods discus hannai abalone, we measured the expression levels of nonspecific immune genes and monitored the anti-Vibrio parahaemolyticus immune reaction. H. discus hannai (shell length: 32.75 +/- 2.63 mm, body weight: 4.91 +/- 0.34 g) was selected to perform a 70 d laboratory culture experiment including a 14 d V. parahaemolyticus artificial infection experiment. The control group (C) was fed normal commercial feed every day. The M1 experimental group was given experimental feed and basal feed on alternating days until the end of the experiment. The M2 experimental group was given experimental feed for 4 d and basal feed for 3 d, and this cycle was repeated every 7 d until the end of the experiment. The M3 experimental group was given experimental feed for 2 d and basal feed for 5 d, and this cycle was repeated every 7 d until the end of the experiment. The M4 group was continuously given experimental feed for the duration of the experiment. The concentration of added B. lincheniformis in each experimental group was 10(5) cfu/g (according to the quantity of viable bacteria). The specific growth rate (as measured by body weight) and the feed conversion efficiency of the abalone in M1 and M2 were significantly higher than those in M4 and C (P < 0.05). The cellulose and lipase activities of abalone in M1, M2 or M4 were significantly higher than those in M3 or C (P < 0.05). The acid phosphatase, superoxide dismutase, total haemocyte counts, 02- levels generated by respiratory bursts, and the expression levels of Mn-SOD, TPx, GST(s), and GST(m), in abalone in the M2 group were significantly higher than those in any other feeding frequency group (P < 0.05). At the end of the V. parahaemolyticus infection, the cumulative mortality of the abalone in M2 was significantly lower than that in any other group (P < 0.05). Consequently, given the growth advantages and the enhancement of immune function, the feeding plan in which B. lincheniformis was applied for 4 d per week, and basal feed was then applied for 3 d, did not lead to a high level of immune reaction, immune fatigue or waste of resources, but increased the growth rate of individuals and their resistance to V. parahaemolyticus infection.",10.1016/j.fsi.2019.11.038
